time,phoneme,vocalic,strident,nasal,back,stop,pause
0.52,s,0.02891524,0.99530524,0.018588135,0.006968967,0.088049866,0.019243846
0.53,s,0.011624394,0.99579227,0.005491121,0.0032208187,0.13862117,0.023494704
0.54,s,0.010085659,0.994197,0.002570165,0.0023814247,0.23197187,0.030988468
0.55,s,0.011582547,0.9898852,0.0022129084,0.0027676725,0.35191187,0.04583065
0.56,s,0.010478304,0.9859809,0.0019358589,0.0027598813,0.4853279,0.06282701
0.5700000000000001,s,0.014325559,0.9744376,0.0044105863,0.0044720597,0.75152016,0.08648347
0.58,s,0.009740703,0.9626132,0.005084667,0.003864606,0.8952661,0.103399314
0.59,t,0.0072030122,0.9492792,0.003629247,0.0036867708,0.9525336,0.08260508
0.6,t,0.0048275474,0.8917073,0.0017479365,0.0031660697,0.98166263,0.04447424
0.61,t,0.0038341605,0.34569663,0.00061115826,0.0050979024,0.99598354,0.009299037
0.62,t,0.0040663746,0.058225997,0.00030398517,0.00629814,0.99822724,0.0022385442
0.63,t,0.0063868626,0.028372677,0.0003482547,0.00928043,0.9980565,0.0007754372
0.64,t,0.03654396,0.05187369,0.00080377416,0.02475873,0.9932768,0.0002738569
0.65,t,0.2425154,0.059047244,0.006110702,0.054144822,0.9613376,0.0002131518
0.66,r,0.47362956,0.03074969,0.015786532,0.096706755,0.7459815,0.0001450602
0.67,r,0.5709841,0.017260645,0.050064478,0.16447733,0.2898693,8.8674446e-05
0.68,r,0.5705696,0.009823583,0.16770628,0.24812025,0.14297801,4.6325236e-05
0.6900000000000001,r,0.42815772,0.012774885,0.34381345,0.32379317,0.21845238,5.273614e-05
0.7000000000000001,r,0.333736,0.029077299,0.4019233,0.38898167,0.44222596,4.0400166e-05
0.71,r,0.4600076,0.03831163,0.36328816,0.58203876,0.4239642,4.2727013e-05
0.72,a,0.6742104,0.03194069,0.33082578,0.8113287,0.40570244,0.00013884186
0.73,a,0.7997427,0.036180884,0.2948289,0.87612057,0.31228927,0.00031061677
0.74,a,0.8703121,0.027436215,0.28946134,0.90942425,0.22952062,0.00034255406
0.75,a,0.90313,0.025786469,0.26800737,0.935262,0.19143145,0.0004392455
0.76,a,0.9105731,0.052070003,0.25038236,0.94325495,0.22136457,0.0010999407
0.77,a,0.91377693,0.053319864,0.23094812,0.94749147,0.24678677,0.0016087943
0.78,a,0.9244109,0.029434992,0.20632316,0.9542325,0.23434636,0.000585526
0.79,a,0.9068532,0.023061164,0.21073328,0.95155627,0.19345862,0.00012131134
0.8,a,0.8702998,0.051293023,0.39861917,0.87083125,0.19116776,0.000764287
0.81,a,0.94233114,0.009870019,0.1586155,0.9267093,0.06199904,0.00021730502
0.8200000000000001,a,0.9457625,0.009007859,0.19215415,0.9250042,0.038529955,0.00013486847
0.8300000000000001,m,0.86664706,0.026563844,0.5536442,0.8704453,0.045364857,0.00016911913
0.84,m,0.64124274,0.05437401,0.85945976,0.71748954,0.054107398,0.00072958047
0.85,n,0.39119416,0.04117921,0.9396671,0.49113673,0.053226087,0.000510377
0.86,n,0.18537174,0.028780423,0.97589594,0.21933296,0.07348766,0.00026071534
0.87,n,0.07809872,0.036203217,0.987003,0.0669448,0.17594765,0.00057951035
0.88,d,0.046803977,0.048990607,0.97833014,0.036877323,0.5498034,0.0049755024
0.89,d,0.027240071,0.043829538,0.92161524,0.019627329,0.8759091,0.0043679196
0.9,d,0.011611921,0.056562982,0.51980895,0.0069322335,0.9808845,0.009230299
0.91,d,0.037446503,0.036963936,0.374304,0.01756447,0.9756507,0.0045148907
0.92,d,0.64986515,0.014564151,0.20956299,0.16797704,0.7103135,0.0007886532
0.93,d,0.9607743,0.0012671944,0.036811434,0.24045944,0.1191287,5.9801347e-05
0.9400000000000001,e,0.9885943,0.0004262001,0.008379395,0.31776875,0.01211982,1.442887e-05
0.9500000000000001,e,0.9890775,0.0028428622,0.014357718,0.2674074,0.0026267737,9.727466e-06
0.96,e,0.95508915,0.1434621,0.09704395,0.14297454,0.0020401126,0.00012614831
0.97,z,0.61263597,0.7763106,0.43288976,0.15330735,0.003886872,0.006114427
0.98,z,0.21842684,0.9518277,0.41870227,0.08510519,0.005997663,0.04095089
0.99,s,0.06392883,0.9902014,0.10750853,0.053460296,0.0065917694,0.06715881
1.0,s,0.029694816,0.99530286,0.025214557,0.030905277,0.009923668,0.06713966
1.01,s,0.021387696,0.9960061,0.010575695,0.025118683,0.020193478,0.07663746
1.02,s,0.01623274,0.9959448,0.00426822,0.020164628,0.040872008,0.09182104
1.03,s,0.014355115,0.99508476,0.002334594,0.017487315,0.06454132,0.10145451
1.04,f,0.022215093,0.9926227,0.0012791088,0.032711297,0.07837139,0.08748134
1.05,f,0.03277157,0.9889194,0.001037907,0.05129047,0.121831626,0.08192271
1.06,f,0.04291742,0.9828593,0.0010658224,0.06723741,0.29801643,0.060832914
1.07,f,0.09228421,0.9709082,0.0031618192,0.18711491,0.4783894,0.04271689
1.08,f,0.5814,0.9292946,0.0071227537,0.7790815,0.47323945,0.013812189
1.09,f,0.9332852,0.53068864,0.009972708,0.96236426,0.19626571,0.00087884214
1.1,a,0.98576313,0.043859422,0.007436013,0.98983514,0.07532144,0.00024314916
1.11,a,0.9903443,0.012134006,0.009752126,0.9942838,0.051782306,0.00029531165
1.12,a,0.9849701,0.009963617,0.016910054,0.9927231,0.0794667,0.00024894465
1.1300000000000001,a,0.9731553,0.0136084845,0.031632464,0.98766184,0.16604984,0.00027236537
1.1400000000000001,a,0.9672006,0.017501602,0.029830236,0.98307884,0.21820489,0.00027614736
1.1500000000000001,a,0.9651462,0.019155027,0.035665184,0.9794118,0.19891235,0.00047023554
1.16,a,0.96741027,0.019836614,0.03407634,0.9771754,0.16323726,0.0008592059
1.17,a,0.9670566,0.016348032,0.035514742,0.9727595,0.11562436,0.0009684737
1.18,a,0.95587444,0.015947586,0.047890786,0.9557523,0.098798044,0.00052124937
1.19,a,0.92015725,0.021959009,0.08514479,0.90173364,0.08530297,0.00019232651
1.2,e,0.9318593,0.0106122475,0.18473233,0.30857387,0.042385206,9.1980466e-05
1.21,e,0.95679224,0.0059580323,0.20118444,0.2413465,0.014473996,9.609509e-06
1.22,e,0.74063367,0.028762506,0.79611045,0.21290891,0.09988224,0.0006801707
1.23,t,0.3702513,0.056662668,0.9237834,0.13343209,0.5450619,0.0115596205
1.24,t,0.19429454,0.03434507,0.92111254,0.10750452,0.8449599,0.025558088
1.25,t,0.122239545,0.02431988,0.8539848,0.07147457,0.94457716,0.041664932
1.26,t,0.042946704,0.016415631,0.5157738,0.03987256,0.9868732,0.020952115
1.27,t,0.0064685266,0.016095871,0.022302872,0.012162458,0.9980673,0.002898792
1.28,t,0.009915706,0.019142712,0.0043290267,0.01585972,0.99766093,0.0014520722
1.29,t,0.09801858,0.03399064,0.0030478972,0.06440405,0.98722255,0.00042528714
1.3,t,0.6492818,0.016982237,0.004143043,0.19619939,0.7662527,0.00027059135
1.31,t,0.85235137,0.010367731,0.013644289,0.14998911,0.6747354,0.00030869312
1.32,k,0.7022674,0.03939276,0.2593563,0.19152647,0.5832181,0.028690852
1.33,k,0.43187588,0.09179843,0.40740865,0.08161272,0.8390975,0.2587561
1.34,k,0.18813866,0.19535808,0.17025527,0.04334109,0.9134836,0.43186602
1.35,k,0.11422154,0.2865103,0.0842606,0.03125135,0.91590315,0.52347744
1.36,p,0.0774472,0.36076802,0.039929036,0.022343447,0.93036515,0.56277597
1.37,p,0.056767244,0.42558658,0.014846209,0.022116711,0.944227,0.4919002
1.3800000000000001,p,0.063427106,0.4904051,0.01028766,0.04948626,0.95288265,0.32752952
1.3900000000000001,p,0.052551024,0.45001495,0.0064448128,0.07516426,0.95907456,0.17449626
